"","g","year","month","age","location","opp","minutes","seconds","result","fg","fga","fg_percent","three_pts","three_pa","three_pts_percent","ft","fta","ft_percent","orb","drb","trb","ast","stl","blk","tov","pf","pts","gm_sc","pm","ts_percent","efg_percent","orb_percent","drb_percent","trb_percent","ast_percent","stl_percent","blk_percent","tov_percent","usg_percent","ortg","drtg","bpm"
"1",1,2015,10,20,"Away","HOU",3,55,"W",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,2,0.7,1,1,1,0,0,0,0,0,0,50,22.7,67,102,-7.8
"2",2,2015,10,20,"Home","MIN",18,9,"L",5,8,0.625,0,0,NA,0,0,NA,3,6,9,1,0,0,2,3,10,7.8,10,0.625,0.625,13.4,38.7,23.8,16.8,0,0,20,22.5,103,98,3.2
"3",3,2015,11,20,"Away","OKC",24,26,"L",4,9,0.444,0,0,NA,0,0,NA,3,1,4,0,0,0,1,2,8,3.9,-2,0.444,0.444,11.6,5.8,9.2,0,0,0,10,17.3,93,129,-9.6
"4",4,2015,11,20,"Home","UTA",17,44,"L",1,4,0.25,0,0,NA,3,4,0.75,1,2,3,0,0,1,1,1,5,2.8,-6,0.434,0.25,6.4,11.8,9.2,0,0,4.4,14.8,18.3,87,111,-6.9
"5",5,2015,11,20,"Away","GSW",17,0,"L",2,4,0.5,0,0,NA,0,2,0,2,2,4,1,1,1,1,1,4,4.2,-5,0.41,0.5,11.3,12,11.6,8.5,2.6,5,17,13.8,86,109,-2.8
"6",6,2015,11,20,"Home","POR",15,37,"W",3,3,1,0,0,NA,4,4,1,0,2,2,1,2,0,1,2,10,10.6,-1,1.05,1,0,12.5,7.1,10,6.3,0,17.4,16.8,175,98,13.2
"7",7,2015,11,20,"Home","MIL",14,26,"W",4,7,0.571,0,0,NA,0,1,0,3,2,5,4,2,0,2,0,8,9.8,9,0.538,0.571,25.6,22.2,24.1,51.8,7.6,0,21.2,30.3,111,105,11.4
"8",8,2015,11,20,"Home","HOU",5,48,"W",1,3,0.333,0,1,0,1,2,0.5,2,3,5,0,0,0,1,2,3,1.4,5,0.387,0.333,37.6,59.1,48.1,0,0,0,20.5,35.7,84,93,-16
"9",9,2015,11,20,"Away","PHO",18,17,"L",2,3,0.667,0,0,NA,0,0,NA,2,4,6,0,3,0,0,3,4,7.1,2,0.667,0.667,9.4,24.4,15.9,0,7.8,0,0,7.1,146,89,2
"10",10,2015,11,20,"Away","NOP",0,40,"W",0,0,NA,0,0,NA,0,0,NA,1,0,1,0,0,0,0,0,0,0.7,0,NA,NA,100,0,94.7,0,0,0,NA,0,230,118,11.5
"11",11,2015,11,20,"Away","SAS",31,54,"L",8,13,0.615,1,1,1,6,6,1,6,6,12,0,2,3,0,2,23,26.4,-2,0.735,0.654,15.8,21,18.1,0,3.3,6.6,0,21,161,108,16.7
"12",12,2015,11,20,"Home","PHO",17,51,"L",2,6,0.333,0,1,0,2,2,1,2,2,4,1,1,0,0,3,6,5.1,-9,0.436,0.333,11.7,15.8,13.4,7.5,2.8,0,0,16.5,116,117,-4.8
"13",13,2015,11,20,"Home","GSW",27,21,"L",3,7,0.429,0,0,NA,5,7,0.714,4,7,11,2,2,1,1,0,11,14.5,-12,0.546,0.429,14.6,31.5,22.2,11.1,3.4,2.9,9,16.2,122,105,6.3
"14",14,2015,11,20,"Home","LAC",24,27,"L",7,13,0.538,0,1,0,2,3,0.667,1,5,6,2,0,0,1,5,16,9.9,-4,0.559,0.538,4.9,19.2,12.9,22.8,0,0,6.5,28.2,111,115,2.8
"15",15,2015,11,20,"Home","SAS",12,24,"L",3,4,0.75,0,0,NA,0,0,NA,1,1,2,0,0,0,3,4,6,0.8,5,0.75,0.75,8.6,11.4,9.8,0,0,0,42.9,26.9,75,104,-12.2
"16",16,2015,11,20,"Away","DAL",18,34,"L",2,3,0.667,1,1,1,3,4,0.75,2,4,6,0,1,0,3,3,8,5.7,-7,0.84,0.833,12.3,23,17.8,0,2.9,0,38.7,19.6,102,99,-1.3
"17",17,2015,11,20,"Away","MIL",25,22,"L",4,7,0.571,0,1,0,0,2,0,1,5,6,2,0,2,1,1,8,7.5,-14,0.508,0.571,4.7,23.1,14,18.5,0,6.4,11.3,16.2,96,99,3.2
"18",18,2015,12,20,"Away","CHI",10,8,"L",3,6,0.5,1,1,1,0,0,NA,0,3,3,0,0,1,0,1,7,5.2,-1,0.583,0.583,0,27.9,12.8,0,0,6.6,0,25.9,108,97,7.4
"19",19,2015,12,20,"Away","TOR",13,54,"W",4,7,0.571,0,0,NA,0,0,NA,1,5,6,0,0,0,0,0,8,6.9,3,0.571,0.571,9.6,38.4,25.6,0,0,0,0,24.2,114,110,-0.2
"20",20,2015,12,20,"Home","ORL",17,4,"L",2,6,0.333,0,0,NA,0,0,NA,1,3,4,1,0,0,0,1,4,2.5,2,0.333,0.333,5.2,18,11.1,12.6,0,0,0,15.4,79,91,-5.1
"21",21,2015,12,20,"Home","MIN",24,31,"W",5,10,0.5,1,2,0.5,8,8,1,3,3,6,4,1,0,2,5,19,16.8,9,0.703,0.55,15.1,13,13.9,31.8,2.1,0,12.9,29.8,139,106,11.8
"22",22,2015,12,20,"Home","HOU",22,5,"W",3,3,1,0,0,NA,3,3,1,0,7,7,1,1,0,1,1,9,10.5,24,1.042,1,0,36.2,19.5,6.1,2.3,0,18.8,10.4,167,112,4.7
"23",23,2015,12,20,"Away","MIN",20,33,"W",3,4,0.75,0,0,NA,0,0,NA,2,1,3,2,2,2,2,3,6,7.7,12,0.75,0.75,15.1,6,10,13.7,5.4,7,33.3,14.2,118,106,4.2
"24",24,2015,12,20,"Away","UTA",21,1,"L",1,5,0.2,0,2,0,5,6,0.833,3,7,10,0,1,0,2,3,7,5.5,-5,0.458,0.2,14,47,27.5,0,2.6,0,20.7,21.2,93,105,-6.2
"25",25,2015,12,20,"Home","NOP",22,53,"L",6,8,0.75,0,1,0,1,2,0.5,1,2,3,2,0,1,0,2,13,12,11,0.732,0.75,5,12.7,8.4,12.9,0,3.9,0,16.8,159,138,2.1
"26",26,2015,12,20,"Home","LAL",29,59,"L",5,7,0.714,0,0,NA,5,6,0.833,6,4,10,5,0,0,3,1,15,17.2,3,0.778,0.714,22.9,15.2,19.1,24.3,0,0,23.7,18.3,140,120,6.2
"27",27,2015,12,20,"Away","PHO",21,32,"W",5,7,0.714,1,2,0.5,2,2,1,5,4,9,2,1,0,2,3,13,14,18,0.825,0.786,23.7,18.2,20.9,14.4,2.3,0,20.2,19.4,144,97,8.8
"28",28,2015,12,20,"Away","SAS",26,9,"L",10,19,0.526,1,2,0.5,1,2,0.5,5,2,7,5,1,1,3,4,22,17,7,0.553,0.553,23.5,9.7,16.7,46.7,2,2.6,13.1,40.5,106,111,12.9
"29",29,2015,12,20,"Away","OKC",17,21,"L",3,7,0.429,1,1,1,0,0,NA,1,2,3,2,1,0,2,4,7,3.4,4,0.5,0.5,5.9,16.8,10.4,14.7,3,0,22.2,22.5,95,129,-6
"30",30,2015,12,20,"Home","CLE",22,25,"L",4,11,0.364,0,0,NA,2,3,0.667,2,5,7,1,1,1,2,6,10,4.4,4,0.406,0.364,9.1,21.8,15.6,7.5,2.2,3.3,14,27.4,82,90,-4.9
"31",31,2015,12,20,"Away","POR",18,22,"L",3,6,0.5,0,0,NA,4,4,1,3,3,6,1,0,2,2,0,10,10.1,0,0.644,0.5,16.7,17.8,17.2,9,0,9.5,20.5,23.3,120,114,2.5
"32",32,2016,1,20,"Away","GSW",5,24,"L",0,0,NA,0,0,NA,0,0,NA,0,1,1,1,0,0,2,2,0,-1.8,-17,NA,NA,0,26.5,9.9,22.3,0,0,100,15.3,19,112,-25
"33",33,2016,1,20,"Home","POR",21,54,"L",3,7,0.429,0,1,0,3,4,0.75,4,6,10,2,2,1,2,5,9,9.6,0,0.514,0.429,17.9,39.9,26.7,16,4.8,4,18.6,21.6,108,109,0.5
"34",34,2016,1,20,"Away","MIN",25,45,"W",2,5,0.4,0,1,0,0,0,NA,2,3,5,3,0,0,2,1,4,3.3,-7,0.4,0.4,8.3,13.6,10.8,22.1,0,0,28.6,13.1,81,96,-4.6
"35",35,2016,1,20,"Away","MEM",18,31,"L",4,4,1,1,1,1,0,0,NA,3,2,5,1,0,0,1,2,9,9.4,4,1.125,1.125,15.2,10.2,12.7,12,0,0,20,11.5,165,106,10.3
"36",36,2016,1,20,"Home","CHO",23,8,"W",2,4,0.5,0,1,0,0,0,NA,0,7,7,9,0,1,1,1,4,9.7,4,0.5,0.5,0,32.3,17.3,67.1,0,4.4,20,10.4,132,98,11.7
"37",37,2016,1,20,"Home","GSW",15,45,"W",3,6,0.5,0,1,0,0,0,NA,3,4,7,2,3,0,1,4,6,8.1,13,0.5,0.5,20.3,28.3,24.2,21.9,9.1,0,14.3,18.3,112,91,7.8
"38",38,2016,1,20,"Home","MIA",17,40,"L",4,7,0.571,0,0,NA,1,1,1,2,4,6,5,0,1,1,2,9,10.7,3,0.605,0.571,13.9,27.2,20.6,64.3,0,3.9,11.8,22.4,127,103,13.7
"39",39,2016,1,20,"Home","IND",24,14,"W",6,11,0.545,1,3,0.333,5,6,0.833,2,0,2,3,4,0,1,2,18,18,4,0.66,0.591,9.7,0,5.3,17.4,7.8,0,6.8,23.3,147,116,11.9
"40",40,2016,1,20,"Home","OKC",19,9,"L",2,4,0.5,0,1,0,2,2,1,1,2,3,1,1,0,1,2,6,5.2,3,0.615,0.5,5.2,9.6,7.5,8.4,2.4,0,17,12.7,115,107,-0.1
"41",41,2016,1,20,"Home","MEM",13,43,"L",2,3,0.667,0,0,NA,5,5,1,1,1,2,2,2,0,0,3,9,10.9,-1,0.865,0.667,8.1,10.3,9.1,24.1,7.8,0,0,17.9,192,100,18.8
"42",42,2016,1,20,"Home","DET",31,50,"W",7,11,0.636,1,1,1,2,2,1,1,4,5,3,2,3,0,3,17,19,6,0.715,0.682,3.5,15.1,9.1,17.8,3.2,8.2,0,18.1,147,102,10.5
"43",43,2016,1,20,"Home","ATL",18,15,"L",5,7,0.714,0,1,0,5,6,0.833,3,7,10,3,2,1,0,2,15,19.9,12,0.778,0.714,17.9,44.9,30.9,39.8,5.3,4.5,0,22,173,104,25.6
"44",44,2016,1,20,"Away","BOS",19,12,"L",1,6,0.167,0,0,NA,1,2,0.5,3,4,7,4,1,1,3,2,3,2.8,-7,0.218,0.167,15.6,18.9,17.3,29.9,2.5,3.7,30.4,20.9,65,103,-4.7
"45",45,2016,1,20,"Away","WAS",25,28,"W",7,12,0.583,0,1,0,1,3,0.333,5,5,10,3,1,1,0,5,15,15.4,6,0.563,0.583,26.2,21.4,23.6,20.3,1.9,3.1,0,22.7,134,110,4.5
"46",46,2016,1,20,"Away","IND",35,18,"L",7,15,0.467,1,2,0.5,1,1,1,3,8,11,2,5,0,3,4,16,14.6,11,0.518,0.5,10.5,23.6,17.6,10.2,7.1,0,16.3,23.7,95,90,4.5
"47",47,2016,2,20,"Home","TOR",29,57,"W",12,18,0.667,1,3,0.333,2,4,0.5,3,11,14,4,0,1,2,3,27,24.1,12,0.683,0.694,14.6,34.6,26.7,24.9,0,3,9.2,32.1,130,91,12.2
"48",48,2016,2,20,"Away","UTA",29,1,"L",3,9,0.333,1,2,0.5,1,2,0.5,3,3,6,4,2,0,0,5,8,8.3,-3,0.405,0.389,12.7,12.4,12.6,31.5,3.8,0,0,16.6,110,97,4.9
"49",49,2016,2,20,"Home","CHI",25,42,"W",6,14,0.429,2,2,1,2,2,1,4,8,12,3,0,2,1,6,16,13.9,5,0.538,0.5,17.8,32.5,25.5,20.2,0,4.6,6.3,25.5,124,105,4.1
"50",50,2016,2,20,"Away","NYK",18,34,"W",4,9,0.444,1,1,1,4,4,1,3,3,6,0,1,0,1,3,13,10.1,-4,0.604,0.5,16.5,16.5,16.5,0,2.8,0,8.5,28.9,123,102,4.3
"51",51,2016,2,20,"Away","BRK",13,57,"L",1,5,0.2,0,1,0,0,0,NA,1,2,3,0,1,0,1,2,2,-0.6,-10,0.2,0.2,8,18.1,12.7,0,3.7,0,16.7,19.2,48,109,-18.3
"52",52,2016,2,20,"Away","DET",24,55,"W",2,7,0.286,0,1,0,1,1,1,0,6,6,2,1,0,1,0,5,4.1,5,0.336,0.286,0,25.1,13,11,2,0,11.8,15.4,72,95,-5.9
"53",53,2016,2,21,"Away","SAC",3,40,"L",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,1,4,0,-2.3,-3,NA,NA,0,31.2,14.7,0,0,0,100,11,0,108,-36.4
"54",54,2016,2,21,"Home","BOS",30,12,"L",10,15,0.667,1,2,0.5,2,2,1,3,10,13,4,2,0,4,4,23,20.8,-11,0.724,0.7,12.2,35.3,24.6,35.1,3.1,0,20.1,28.2,120,108,9.7
"55",55,2016,2,21,"Home","SAC",20,11,"L",4,8,0.5,1,2,0.5,4,4,1,4,9,13,6,2,0,2,5,13,16.7,-5,0.666,0.563,17,56.3,32.9,45.3,4.5,0,17,23,134,99,16.7
"56",56,2016,2,21,"Away","LAC",26,13,"W",3,9,0.333,1,4,0.25,0,0,NA,4,7,11,3,1,1,3,2,7,6.8,8,0.389,0.389,14.1,24.6,19.4,19.3,1.9,4.7,25,19.4,80,80,1.7
"57",57,2016,2,21,"Away","DAL",10,58,"L",2,4,0.5,0,0,NA,1,2,0.5,3,1,4,2,0,0,1,3,5,4.2,4,0.512,0.5,27.4,11.8,20.6,29,0,0,17,23.4,118,124,-0.1
"58",58,2016,2,21,"Home","MEM",19,6,"L",3,4,0.75,0,0,NA,4,4,1,0,6,6,3,1,1,3,2,10,10.2,-2,0.868,0.75,0,41.9,22.5,23.2,2.8,4.6,34.2,22.4,121,104,8.2
"59",59,2016,3,21,"Home","LAL",28,23,"W",3,8,0.375,1,2,0.5,7,8,0.875,1,5,6,3,0,2,1,5,14,11.9,17,0.608,0.438,5.3,20.6,13.9,15.4,0,7,8,20,132,113,0.4
"60",60,2016,3,21,"Home","BRK",33,52,"L",6,14,0.429,0,2,0,3,3,1,2,10,12,4,1,1,2,5,15,12.5,-1,0.49,0.429,7.3,38.2,22.4,17.1,1.5,2.3,11.5,22.2,111,115,-2.9
"61",61,2016,3,21,"Home","DAL",20,39,"W",4,11,0.364,0,2,0,5,5,1,2,10,12,3,2,1,3,4,13,11.5,9,0.492,0.364,9.3,52.4,29.6,22.8,4.9,4.9,18.5,32.2,98,90,6.2
"62",62,2016,3,21,"Home","NYK",33,52,"W",9,20,0.45,0,1,0,2,4,0.5,3,6,9,3,1,1,1,0,20,15.5,10,0.46,0.45,8.9,21.3,14.5,13.2,1.5,2.5,4.4,28.5,100,96,2.5
"63",63,2016,3,21,"Home","PHO",27,24,"W",6,8,0.75,1,2,0.5,5,5,1,2,8,10,4,2,3,0,4,18,23.9,20,0.882,0.813,7.5,26,17.3,20.9,3.6,8.6,0,16.2,190,88,19.7
"64",64,2016,3,21,"Home","WAS",16,31,"W",0,0,NA,0,0,NA,0,0,NA,0,5,5,3,0,0,2,4,0,0,-4,NA,NA,0,30.9,17.9,20.8,0,0,100,5.1,63,98,-5.3
"65",65,2016,3,21,"Away","MIA",27,48,"L",5,10,0.5,1,2,0.5,1,2,0.5,3,5,8,4,2,1,1,2,12,13.9,4,0.551,0.55,12.9,26.2,18.9,17.1,3.5,2.8,8.4,18,128,120,6.2
"66",66,2016,3,21,"Away","ORL",25,19,"L",5,8,0.625,1,1,1,3,3,1,3,3,6,4,1,1,2,3,14,14.7,-5,0.751,0.688,15.8,15.8,15.8,24.8,1.9,3.4,17.7,20.1,140,116,8.5
"67",67,2016,3,21,"Away","ATL",22,6,"L",4,7,0.571,0,1,0,0,0,NA,1,4,5,2,1,1,1,2,8,7.9,-25,0.571,0.571,5.2,23.5,13.7,14.3,2.3,4,12.5,16,110,116,1.8
"68",68,2016,3,21,"Away","CHO",24,45,"W",5,16,0.313,1,2,0.5,0,0,NA,6,8,14,4,0,1,1,6,11,8.5,6,0.344,0.344,26.4,34.5,30.5,27.4,0,3.8,5.9,29.9,99,97,-0.7
"69",69,2016,3,21,"Away","CLE",22,36,"L",4,12,0.333,0,1,0,3,3,1,1,3,4,3,3,0,2,2,11,8.1,-24,0.413,0.333,4.7,19.3,10.9,27.1,6.7,0,13.1,30.1,86,121,-0.6
"70",70,2016,3,21,"Home","PHI",27,0,"W",5,6,0.833,0,0,NA,8,12,0.667,1,7,8,5,1,0,1,1,18,20.1,9,0.798,0.833,4,26.5,15.6,36.9,1.8,0,8.1,19.9,158,104,14.4
"71",71,2016,3,21,"Away","LAL",21,42,"W",4,9,0.444,0,2,0,0,0,NA,2,10,12,4,0,0,1,3,8,8.3,-2,0.444,0.444,9,52.7,29.2,24.5,0,0,10,19.5,106,105,-2.1
"72",72,2016,3,21,"Away","LAC",20,51,"L",2,7,0.286,0,1,0,1,2,0.5,3,6,9,2,1,0,0,1,5,6.4,-18,0.317,0.286,14.7,33.7,23.5,14.2,2.6,0,0,15.8,103,109,-1
"73",73,2016,3,21,"Home","DAL",23,55,"L",1,7,0.143,0,2,0,0,0,NA,0,8,8,2,2,0,3,2,2,-0.5,10,0.143,0.143,0,34.2,20.6,13.8,4.5,0,30,20.2,33,97,-10.6
"74",74,2016,3,21,"Away","MEM",28,41,"W",4,6,0.667,1,1,1,0,0,NA,5,9,14,1,0,1,1,5,9,11,3,0.75,0.75,22.6,29.5,26.6,5.3,0,2.2,14.3,11.4,150,107,0.4
"75",75,2016,3,21,"Away","NOP",23,6,"L",4,7,0.571,1,3,0.333,0,0,NA,2,6,8,3,1,1,1,1,9,11.3,-8,0.643,0.643,9.2,27.1,18.3,22.5,2.2,3.4,12.5,16.1,123,102,5.7
"76",76,2016,4,21,"Home","SAC",32,14,"L",2,6,0.333,0,1,0,2,2,1,4,9,13,5,1,2,0,2,6,13.2,-1,0.436,0.333,11.5,29.1,19.8,20.1,1.6,4.4,0,9.1,137,113,2.3
"77",77,2016,4,21,"Home","OKC",19,3,"L",3,5,0.6,1,3,0.333,0,0,NA,0,2,2,2,0,2,0,2,7,7.3,-9,0.7,0.7,0,12.3,5.4,17.1,0,9.3,0,11.2,141,123,3.1
"78",78,2016,4,21,"Home","SAS",32,13,"W",3,9,0.333,0,2,0,2,2,1,3,12,15,4,1,1,0,2,8,12.3,24,0.405,0.333,9.9,38,24.3,16.8,1.5,2.1,0,14,112,97,2.7
"79",79,2016,4,21,"Home","UTA",36,2,"L",7,9,0.778,0,2,0,5,6,0.833,3,8,11,4,2,1,1,4,19,22.5,-16,0.816,0.778,9.1,23.2,16.3,23.5,3,2.8,7.9,16.9,159,107,13
"80",80,2016,4,21,"Away","POR",34,56,"L",7,10,0.7,1,2,0.5,3,3,1,6,7,13,5,0,0,2,3,18,20.4,4,0.795,0.75,15.9,20.9,18.2,22.6,0,0,15,15,151,113,7.9
"81",1,2016,10,21,"Away","NOP",21,8,"W",2,5,0.4,1,2,0.5,0,0,NA,1,6,7,2,0,0,4,4,5,0.6,5,0.5,0.5,5.8,26.2,17.5,14,0,0,44.4,16.8,68,98,-8.9
"82",2,2016,10,21,"Home","POR",34,6,"L",10,20,0.5,1,5,0.2,2,3,0.667,6,11,17,2,4,1,1,5,23,23.2,-1,0.539,0.525,16.7,34.2,24.9,13.8,5.4,2.4,4.5,25.9,119,89,12.3
"83",3,2016,10,21,"Away","TOR",22,22,"L",6,9,0.667,0,1,0,0,0,NA,2,2,4,1,0,0,4,4,12,5.2,-9,0.667,0.667,10,9.3,9.6,10.7,0,0,30.8,26.7,95,119,-7.6
"84",4,2016,11,21,"Away","MIN",14,26,"W",3,3,1,0,0,NA,2,4,0.5,1,2,3,5,0,0,1,3,8,8.9,7,0.84,1,9.2,13,11.5,57.3,0,0,17.4,17.1,154,104,14.3
"85",5,2016,11,21,"Away","DET",22,42,"L",3,9,0.333,0,0,NA,0,0,NA,2,4,6,0,1,1,1,3,6,3,-14,0.333,0.333,7.8,20.6,13.4,0,2.2,3.3,10,17.8,73,102,-6.5
"86",6,2016,11,21,"Away","BOS",22,15,"W",4,5,0.8,0,1,0,1,1,1,0,5,5,2,1,1,1,2,9,9.9,6,0.827,0.8,0,22,12.5,12.2,2.2,3.3,15.5,12.1,145,102,5.6
"87",7,2016,11,21,"Away","MEM",28,22,"L",4,10,0.4,1,3,0.333,3,4,0.75,1,4,5,2,2,0,0,4,12,9.9,5,0.51,0.45,5.6,16.5,11.9,12,3.4,0,0,18.6,117,106,0.6
"88",8,2016,11,21,"Home","GSW",18,29,"L",1,5,0.2,0,3,0,2,2,1,1,2,3,2,1,0,0,3,4,3.4,-21,0.34,0.2,5,14.4,8.9,14.7,2.6,0,0,12.8,105,125,-5.5
"89",9,2016,11,21,"Home","DET",20,27,"L",2,7,0.286,0,0,NA,2,2,1,2,1,3,1,1,0,1,1,6,3.9,-6,0.381,0.286,11.7,6,8.9,7.5,2.6,0,11.3,19.4,94,118,-6.3
"90",10,2016,11,21,"Away","POR",25,56,"L",0,3,0,0,0,NA,0,0,NA,0,5,5,3,1,1,2,5,0,-0.8,11,0,0,0,16.2,9,15.4,1.8,2.6,40,7.6,33,107,-8.4
"91",11,2016,11,21,"Home","PHO",19,19,"W",3,4,0.75,0,0,NA,4,5,0.8,0,2,2,2,0,0,1,3,10,7.8,-1,0.806,0.75,0,11.8,5.9,13.2,0,0,13.9,15.2,148,109,1.4
"92",12,2016,11,21,"Home","TOR",27,17,"L",4,8,0.5,0,2,0,0,0,NA,2,10,12,4,0,2,3,3,8,8.4,3,0.5,0.5,8.3,34.7,22.6,24.9,0,5.5,27.3,17.9,88,98,0.2
"93",13,2016,11,21,"Home","UTA",20,50,"W",5,8,0.625,1,1,1,1,2,0.5,2,4,6,4,0,1,0,3,12,12.9,11,0.676,0.688,9.8,18.1,14.1,30.2,0,4,0,19.1,150,98,14
"94",14,2016,11,21,"Home","CHI",18,29,"W",3,5,0.6,0,0,NA,2,2,1,3,5,8,3,1,1,0,1,8,12.7,13,0.68,0.6,14.2,27.1,20.2,22.1,2.7,3.4,0,13,166,102,12.4
"95",15,2016,11,21,"Away","UTA",22,39,"L",4,6,0.667,0,0,NA,1,2,0.5,1,4,5,6,0,0,0,4,9,10.5,-3,0.654,0.667,3.5,21.7,10.6,65.1,0,0,0,13.1,153,112,9.1
"96",16,2016,11,21,"Home","OKC",29,21,"L",3,7,0.429,1,2,0.5,0,0,NA,3,3,6,5,0,2,3,5,7,6.2,-8,0.5,0.5,11.8,11.8,11.8,21.2,0,5.2,30,14,100,119,-5.5
"97",17,2016,11,21,"Away","PHO",31,0,"W",3,8,0.375,1,2,0.5,6,6,1,3,8,11,3,0,1,1,2,13,14.1,9,0.611,0.438,9.9,25.8,17.9,13.5,0,2.4,8.6,15.7,137,109,2.6
"98",18,2016,11,21,"Home","MIA",24,0,"L",7,11,0.636,0,0,NA,3,4,0.75,3,11,14,3,1,0,1,3,17,18,1,0.666,0.636,11.8,42.3,27.2,25,2,0,7.3,22.8,133,96,13.4
"99",19,2016,12,21,"Away","BRK",21,12,"L",5,7,0.714,0,0,NA,4,4,1,7,3,10,3,0,1,1,3,14,17.5,18,0.799,0.714,27.3,16.2,22.6,22.1,0,3.8,10.2,16.8,168,116,13.5
"100",20,2016,12,21,"Away","WAS",27,31,"L",6,10,0.6,0,0,NA,5,7,0.714,7,4,11,1,0,1,4,1,17,14.7,-20,0.65,0.6,29.8,17.9,24,8.5,0,3,23.4,26.2,109,99,5.7
"101",21,2016,12,21,"Away","ORL",26,20,"W",6,11,0.545,0,3,0,2,2,1,1,5,6,6,1,2,1,3,14,15.3,22,0.589,0.545,5.2,22.8,14.6,30.3,1.9,6,7.8,22.1,132,109,8.8
"102",22,2016,12,21,"Away","DAL",26,28,"L",10,12,0.833,0,0,NA,7,7,1,7,4,11,4,1,1,1,1,27,31.8,2,0.895,0.833,27.6,23.4,25.9,43,2.2,3.6,6.2,27.3,182,130,32.5
"103",23,2016,12,21,"Home","POR",19,23,"W",5,6,0.833,1,1,1,2,3,0.667,0,4,4,5,0,0,1,5,13,12.1,15,0.888,0.917,0,21.5,12.9,40.4,0,0,12,18,165,119,10
"104",24,2016,12,21,"Home","NYK",20,13,"W",5,8,0.625,0,0,NA,0,0,NA,2,7,9,5,0,0,1,5,10,10.4,6,0.625,0.625,12.8,42.6,28.1,31.1,0,0,11.1,19,139,116,4.6
"105",25,2016,12,21,"Home","DAL",38,2,"W",13,17,0.765,1,1,1,0,0,NA,3,14,17,9,1,0,3,1,27,30.5,16,0.794,0.794,11.8,46.5,30.6,39.7,1.4,0,15,25.5,147,116,14.2
"106",26,2016,12,21,"Away","LAC",20,43,"L",4,7,0.571,0,2,0,1,2,0.5,2,4,6,1,0,0,2,3,9,5.4,-21,0.571,0.571,9.9,25.7,16.7,7.8,0,0,20.2,20.7,101,126,-7.2
"107",27,2016,12,21,"Home","ATL",19,7,"L",3,4,0.75,1,1,1,1,2,0.5,1,6,7,6,0,3,5,6,8,7.4,5,0.82,0.875,6.6,31.4,20.4,51.1,0,12.3,50.6,22.9,95,100,5.7
