"","g","year","month","age","location","opp","minutes","seconds","result","fg","fga","fg_percent","three_pts","three_pa","three_pts_percent","ft","fta","ft_percent","orb","drb","trb","ast","stl","blk","tov","pf","pts","gm_sc","pm","ts_percent","efg_percent","orb_percent","drb_percent","trb_percent","ast_percent","stl_percent","blk_percent","tov_percent","usg_percent","ortg","drtg","bpm"
"424",43,2021,3,26,"Away","ORL",36,15,"W",11,17,0.647,2,4,0.5,4,4,1,4,11,15,10,2,1,3,2,28,32.5,11,0.746,0.706,12.9,30.3,22.3,43.5,2.8,2.5,13.8,27,147,101,19.7
"425",44,2021,3,26,"Away","TOR",29,38,"L",8,14,0.571,0,2,0,4,4,1,4,6,10,5,1,0,4,1,20,18.1,-13,0.635,0.571,12.2,25.6,17.8,28.9,1.7,0,20.2,27.4,118,137,4.3
"426",45,2021,3,26,"Away","NOP",41,7,"W",17,30,0.567,3,5,0.6,0,0,NA,2,4,6,9,2,1,1,3,37,32.2,23,0.617,0.617,5.6,15.1,9.6,38.7,2.6,2.4,3.2,34.8,135,118,15
"427",46,2021,3,26,"Home","ATL",28,13,"W",7,12,0.583,1,2,0.5,1,2,0.5,3,7,10,8,1,2,0,0,16,22.2,20,0.621,0.625,11.6,33.1,21.3,35.7,1.8,8.1,0,20.1,159,102,18.5
"428",47,2021,3,26,"Home","PHI",34,25,"W",8,14,0.571,0,1,0,5,6,0.833,3,7,10,5,0,0,5,1,21,16.3,8,0.631,0.571,11,20.8,16.4,25,0,0,23.1,27.8,110,106,1
"429",48,2021,4,26,"Away","LAC",35,50,"W",6,16,0.375,2,3,0.667,0,0,NA,1,6,7,7,0,1,4,3,14,8.1,13,0.438,0.438,3.4,18.3,11.3,30.3,0,2.6,20,26.7,87,108,-2.4
"430",49,2021,4,26,"Home","ORL",37,42,"W",5,11,0.455,0,1,0,7,9,0.778,2,7,9,16,1,0,4,4,17,20.6,15,0.568,0.455,5.7,19.8,12.7,55.6,1.3,0,21.1,20.9,129,115,8.4
"431",50,2021,4,26,"Home","DET",26,46,"W",13,16,0.813,0,0,NA,1,2,0.5,2,6,8,11,1,1,1,3,27,31,9,0.8,0.813,10,28.3,19.4,60.3,1.9,3.9,5.6,29.7,171,122,23.9
"432",51,2021,4,26,"Home","SAS",30,27,"W",11,18,0.611,0,2,0,3,4,0.75,1,8,9,10,1,0,6,0,25,21.5,5,0.633,0.611,3.7,24.3,14.9,69.6,1.5,0,23.3,34.3,109,94,12.8
"433",52,2021,4,26,"Home","SAS",38,22,"W",9,17,0.529,2,2,1,6,6,1,5,8,13,14,1,0,6,4,26,26.8,7,0.662,0.588,17.4,20.9,19.4,55.2,1.3,0,23.4,29.9,131,119,9
"434",53,2021,4,26,"Home","BOS",31,30,"L",6,15,0.4,0,2,0,5,7,0.714,2,8,10,11,1,1,2,3,17,18.1,9,0.47,0.4,5.5,28.3,15.5,73.3,1.7,2.8,10,29.2,109,109,13.6
"435",54,2021,4,26,"Away","GSW",37,17,"L",10,21,0.476,1,5,0.2,6,8,0.75,4,8,12,8,1,1,4,1,27,23.6,-14,0.551,0.5,12.3,29.4,20.1,39.4,1.3,3.5,14,32.5,113,115,8.7
"436",55,2021,4,26,"Home","MIA",32,2,"W",6,14,0.429,1,2,0.5,4,5,0.8,4,6,10,11,1,2,2,3,17,20.7,7,0.525,0.464,16.2,25,20.5,42.3,1.7,6.4,11,26,135,113,10.5
"437",56,2021,4,26,"Away","HOU",27,5,"W",10,12,0.833,1,1,1,8,9,0.889,6,10,16,7,2,0,0,3,29,37.1,9,0.909,0.875,23.6,40.3,31.9,43.9,3.7,0,0,24.3,199,95,34.3
"438",57,2021,4,26,"Home","MEM",45,4,"W",20,31,0.645,2,6,0.333,5,6,0.833,7,8,15,8,0,1,7,3,47,38.3,3,0.699,0.677,18,18.7,18.4,40.8,0,1.9,17.2,38.1,127,115,11
"439",58,2021,4,26,"Away","POR",35,38,"W",9,18,0.5,1,6,0.167,6,7,0.857,4,5,9,5,0,1,4,0,25,20.1,3,0.593,0.528,11.2,17.3,13.9,25.1,0,2.6,15.9,31.1,118,118,5.1
"440",59,2021,4,26,"Away","GSW",33,24,"L",7,16,0.438,0,3,0,5,5,1,0,6,6,6,0,0,1,2,19,14.8,-18,0.522,0.438,0,23.3,9.8,36,0,0,5.2,26.1,109,126,-0.2
"441",60,2021,4,26,"Home","HOU",29,1,"W",10,14,0.714,0,0,NA,4,6,0.667,0,8,8,12,1,1,4,4,24,24.3,10,0.721,0.714,0,32.3,18.6,59.3,1.6,3.9,19.4,32.5,133,111,9.8
"442",61,2021,4,26,"Home","MEM",29,40,"W",6,12,0.5,2,3,0.667,10,10,1,1,14,15,5,2,0,6,3,24,21.2,11,0.732,0.583,3.4,49.2,26.1,22.9,3.1,0,26.8,31.6,115,85,10.1
"443",62,2021,4,26,"Home","NOP",36,29,"W",12,20,0.6,2,4,0.5,6,8,0.75,0,7,7,8,3,3,6,1,32,28.4,7,0.68,0.65,0,22.5,11.5,38.7,3.6,6.9,20.3,34.3,112,97,12.4
"444",63,2021,4,26,"Home","TOR",28,26,"W",8,13,0.615,2,3,0.667,1,1,1,4,7,11,2,1,0,1,1,19,19,-4,0.707,0.692,15.7,29.5,22.4,11.1,1.7,0,6.9,21.1,148,113,8.8
"445",64,2021,5,26,"Away","LAC",33,22,"W",9,17,0.529,2,6,0.333,10,10,1,2,12,14,7,0,1,0,4,30,30.7,-3,0.701,0.588,7.8,37.5,24.3,38.7,0,2.9,0,31,159,111,20.3
"446",65,2021,5,26,"Away","LAL",35,36,"L",12,28,0.429,1,4,0.25,7,8,0.875,3,6,9,5,2,1,2,4,32,23.3,3,0.508,0.446,9.6,19.3,14.4,34,2.9,3.1,6,44.7,104,96,11.5
"447",66,2021,5,26,"Home","NYK",29,7,"W",10,16,0.625,0,2,0,12,15,0.8,3,9,12,6,2,2,4,3,32,30.8,15,0.708,0.625,9.3,28.5,18.8,48.2,3.2,6.5,15,35.2,133,87,21.8
"448",67,2021,5,26,"Away","UTA",35,2,"L",9,11,0.818,2,2,1,4,4,1,2,7,9,13,0,1,5,5,24,26.2,-4,0.94,0.909,7.2,25.2,16.2,58.1,0,3.2,28.2,22.4,153,132,14.1
"449",68,2021,5,26,"Home","BRK",36,56,"L",10,21,0.476,0,5,0,9,9,1,3,4,7,6,0,0,5,3,29,19.6,3,0.581,0.476,9.1,20.8,13.4,26.9,0,0,16.7,34.1,114,134,0.5
"450",69,2021,5,26,"Away","CHO",32,57,"W",7,16,0.438,0,2,0,16,17,0.941,2,9,11,6,0,0,2,2,30,26.7,12,0.639,0.438,6.6,30.5,18.4,28.4,0,0,7.8,33.3,137,113,7.3
"451",70,2021,5,26,"Away","MIN",32,14,"W",14,21,0.667,0,3,0,3,3,1,6,8,14,4,1,1,2,2,31,30.2,8,0.694,0.667,19.4,23.8,21.7,23.7,1.5,3.8,8.2,32.1,140,102,16.1
"452",71,2021,5,26,"Away","DET",26,28,"W",7,11,0.636,0,0,NA,6,7,0.857,3,12,15,11,0,0,1,2,20,26.3,18,0.71,0.636,13.3,44.4,30.2,68.1,0,0,6.6,26.5,157,95,22.4
"453",72,2021,5,26,"Away","POR",16,41,"L",9,17,0.529,0,3,0,3,3,1,1,2,3,2,1,0,1,3,21,14.2,-13,0.573,0.529,5.8,15.6,9.9,31.8,2.9,0,5.2,50.3,115,132,7.6
"454",1,2021,10,26,"Away","PHO",34,43,"W",13,22,0.591,1,6,0.167,0,0,NA,2,11,13,2,2,0,3,3,27,20.7,28,0.614,0.614,6.9,29.8,19.8,10.6,2.8,0,12,33.2,109,92,3.9
"455",2,2021,10,26,"Home","SAS",33,37,"W",14,19,0.737,2,2,1,2,3,0.667,5,11,16,7,3,1,6,4,32,31.7,14,0.787,0.789,17.8,39.3,28.6,41.6,4.2,2.4,22.8,34,127,85,21
"456",3,2021,10,26,"Home","CLE",34,57,"L",9,15,0.6,1,4,0.25,5,6,0.833,3,16,19,3,3,0,6,3,24,21.5,-12,0.68,0.633,8.4,46.8,27.2,18.2,4.3,0,25.4,28.9,105,90,10.2
"457",4,2021,10,26,"Away","UTA",15,0,"L",8,9,0.889,3,3,1,5,7,0.714,1,5,6,6,0,0,1,1,24,25.1,7,0.993,1.056,8.4,42.1,25.3,100,0,0,7.6,39.3,191,122,48.9
"458",5,2021,10,26,"Home","DAL",25,15,"W",5,9,0.556,1,3,0.333,0,0,NA,2,14,16,8,1,0,1,4,11,16.3,26,0.611,0.611,10.9,51.2,35,45.4,1.9,0,10,17.6,137,67,17.1
"459",6,2021,10,26,"Away","MIN",36,40,"W",10,23,0.435,3,8,0.375,3,4,0.75,5,14,19,7,1,2,7,2,26,20.7,17,0.525,0.5,14.5,37.4,26.5,40,1.4,5.5,22,36.8,97,86,8.6
"460",7,2021,11,26,"Away","MEM",33,3,"L",9,15,0.6,2,6,0.333,3,4,0.75,1,6,7,7,0,4,3,2,23,22.1,0,0.686,0.667,2.9,19.4,10.7,39.2,0,9.2,15.2,26.9,120,105,13.5
"461",8,2021,11,26,"Away","MEM",35,1,"L",11,20,0.55,2,5,0.4,10,10,1,2,9,11,5,2,0,2,3,34,30.8,-3,0.697,0.6,6.2,34.3,18.8,24.5,2.9,0,7.6,33.6,141,112,17.8
"462",9,2021,11,26,"Home","HOU",36,23,"W",9,15,0.6,1,3,0.333,9,11,0.818,2,12,14,2,2,1,5,5,28,22.4,7,0.706,0.633,5.3,37.7,20.1,10.9,2.8,2.8,20.1,30.5,116,93,7.5
"463",10,2021,11,26,"Home","MIA",33,24,"W",10,14,0.714,0,0,NA,5,8,0.625,4,11,15,10,2,2,2,3,25,31.3,14,0.713,0.714,13.4,36.8,25.1,52,3,6.8,10.2,25.4,148,91,24.4
"464",11,2021,11,26,"Home","ATL",35,29,"W",10,22,0.455,1,8,0.125,1,4,0.25,5,14,19,10,1,0,2,5,22,21.1,19,0.463,0.477,14.7,35.7,26,51.1,1.4,0,7.8,32.9,109,95,10.2
"465",12,2021,11,26,"Home","POR",27,57,"W",11,17,0.647,3,3,1,3,3,1,2,7,9,9,0,0,3,2,28,26.5,9,0.764,0.735,8.2,28,18.2,55,0,0,14.1,34.8,150,109,20.4
"466",13,2021,11,26,"Away","DAL",36,52,"L",15,26,0.577,2,6,0.333,3,6,0.5,3,13,16,6,0,2,3,1,35,29.8,-1,0.611,0.615,8.9,36.8,23.1,38.2,0,4.8,9.5,40.2,121,116,15.7
"467",14,2021,11,26,"Home","PHI",35,24,"L",10,17,0.588,3,4,0.75,7,9,0.778,1,9,10,7,0,1,1,3,30,28.1,-5,0.716,0.676,2.8,29.1,14.9,51.5,0,2.4,4.6,28.1,145,111,20.2
"468",15,2021,11,26,"Away","MIA",32,35,"W",9,14,0.643,1,2,0.5,5,6,0.833,3,12,15,7,1,0,1,2,24,27.2,17,0.721,0.679,13.8,42.1,29.9,34.7,1.6,0,5.7,27,157,111,13.9
"469",16,2021,12,26,"Away","ORL",36,11,"L",7,19,0.368,0,5,0,4,5,0.8,1,14,15,7,1,0,5,1,18,12.5,2,0.425,0.368,3.4,53.1,26.9,31.3,1.3,0,19.1,33.7,82,108,-1.9
"470",17,2021,12,26,"Away","NYK",26,56,"W",14,19,0.737,3,7,0.429,1,1,1,3,8,11,5,0,0,4,0,32,28.3,12,0.823,0.816,16.7,28.5,23.9,46.8,0,0,17.1,42.1,138,110,19.1
"471",18,2021,12,26,"Away","CHI",36,7,"L",6,17,0.353,1,5,0.2,4,6,0.667,1,11,12,15,2,0,3,2,17,19.4,7,0.433,0.382,2.5,28.1,15.2,66.4,2.7,0,13.3,27,102,104,13.2
"472",19,2021,12,26,"Away","NOP",36,42,"W",17,23,0.739,0,3,0,5,9,0.556,1,10,11,11,1,0,6,2,39,33.7,4,0.723,0.739,3.5,38,20.1,77.7,1.4,0,18.2,42.9,124,108,17.1
"473",20,2021,12,26,"Away","SAS",34,59,"L",8,19,0.421,2,8,0.25,4,4,1,2,11,13,10,2,1,2,3,22,23.1,-5,0.53,0.474,6.1,35.9,20.5,44.2,2.8,2.6,8.8,29,116,116,11
"474",21,2021,12,26,"Away","SAS",34,12,"W",15,24,0.625,4,6,0.667,1,1,1,2,15,17,8,1,2,5,3,35,31.9,32,0.716,0.708,6.8,46.8,27.7,43.3,1.4,4.5,17,37.5,126,101,15
"475",22,2021,12,26,"Home","WAS",30,36,"W",9,14,0.643,1,2,0.5,9,11,0.818,2,17,19,9,3,1,4,0,28,33.5,21,0.743,0.679,8,52.3,33.1,61.7,4.6,2.8,17.5,33.6,134,92,24.7
"476",23,2021,12,26,"Home","MIN",34,57,"L",11,16,0.688,2,4,0.5,3,5,0.6,2,8,10,11,1,0,4,4,27,26.3,-17,0.742,0.75,6.5,28.2,17,66,1.4,0,18,27.4,132,124,14.6
"477",24,2021,12,26,"Away","ATL",26,6,"W",8,12,0.667,1,2,0.5,3,3,1,2,8,10,7,3,0,3,5,20,21.5,13,0.751,0.708,11.9,33.4,24.5,36.5,5.3,0,18.4,27.8,138,100,11.2
"478",25,2021,12,26,"Away","OKC",24,52,"L",5,9,0.556,1,4,0.25,2,2,1,0,7,7,3,0,2,3,0,13,11.3,-15,0.658,0.611,0,27,13.6,24.8,0,6.4,23.3,23.4,101,106,4.3
"479",26,2021,12,26,"Home","CHO",35,7,"L",13,34,0.382,1,6,0.167,2,3,0.667,6,15,21,5,2,0,6,0,29,18.2,2,0.411,0.397,17.1,36.6,27.6,30.7,2.6,0,14.5,47.7,84,101,1.3
"480",27,2021,12,26,"Away","LAC",37,30,"W",9,24,0.375,1,3,0.333,7,7,1,6,16,22,8,2,2,4,4,26,25.2,-7,0.48,0.396,16,44.5,30,37.3,2.6,4.3,12.9,34.9,105,90,10
"481",28,2021,12,26,"Away","GSW",35,19,"W",8,19,0.421,0,5,0,6,8,0.75,5,14,19,5,4,1,8,2,22,18.2,6,0.488,0.421,14.2,48.8,29.7,29.4,5.9,3.4,26.2,38.8,85,78,6.9
"482",29,2022,1,26,"Away","HOU",25,9,"W",8,12,0.667,1,2,0.5,7,9,0.778,1,10,11,3,0,1,4,4,24,18.9,7,0.752,0.708,5.3,41.5,25.6,18.6,0,4.4,20,32.9,125,107,4.1
"483",30,2022,1,26,"Away","DAL",34,44,"L",11,18,0.611,1,4,0.25,4,4,1,4,12,16,3,2,0,3,3,27,25.1,-6,0.683,0.639,16.3,40.4,29.5,26.2,3,0,13.2,30,128,105,14.3
"484",31,2022,1,26,"Home","UTA",37,14,"L",10,17,0.588,1,3,0.333,5,6,0.833,2,19,21,11,0,2,5,2,26,28.1,-1,0.662,0.618,6.1,55.7,31.5,48.7,0,5.1,20.3,29.8,121,108,15.5
"485",32,2022,1,26,"Home","SAC",33,37,"W",13,20,0.65,3,6,0.5,4,8,0.5,1,9,10,7,2,2,2,3,33,31.1,0,0.702,0.725,3.6,26.8,16.2,35.1,2.9,4.5,7.8,35.5,132,104,16.6
"486",33,2022,1,26,"Away","OKC",32,43,"W",8,21,0.381,1,3,0.333,5,5,1,8,10,18,6,1,0,2,0,22,22.3,10,0.474,0.405,24.5,31.9,28.1,34.8,1.6,0,7.9,33.3,120,102,10.3
"487",34,2022,1,26,"Away","LAC",36,38,"L",9,14,0.643,1,3,0.333,2,2,1,5,8,13,8,1,0,5,2,21,21.5,6,0.706,0.679,16,22.8,19.6,51.9,1.4,0,25.2,24.2,117,93,14
"488",35,2022,1,26,"Home","POR",28,26,"W",8,10,0.8,1,2,0.5,3,3,1,0,8,8,7,0,2,3,2,20,21.1,18,0.883,0.85,0,30,18.3,30.7,0,7.3,20.9,22.6,151,104,11.2
"489",36,2022,1,26,"Home","LAL",28,10,"W",7,12,0.583,1,2,0.5,2,2,1,2,10,12,13,1,0,3,1,17,22.5,16,0.66,0.625,8.1,34.1,22.2,63.2,1.8,0,18.9,25.9,144,100,17.8
"490",37,2022,1,26,"Home","UTA",36,44,"L",10,18,0.556,2,5,0.4,3,3,1,3,12,15,14,2,0,3,5,25,28.9,5,0.647,0.611,8.2,37.3,21.8,63.2,2.7,0,13.4,27.1,130,121,18.9
"491",38,2022,1,26,"Home","LAC",41,16,"W",16,25,0.64,3,5,0.6,14,16,0.875,7,7,14,10,3,1,5,4,49,48.2,15,0.765,0.7,18.7,20.9,19.8,46.8,3.7,2.2,13.5,39.3,147,118,24.3
"492",39,2022,1,26,"Home","MEM",40,11,"L",11,16,0.688,2,4,0.5,2,3,0.667,3,8,11,12,2,1,0,3,26,33.2,0,0.751,0.75,8,23.9,15.5,48,2.4,2.1,0,18.1,168,116,19.4
"493",40,2022,1,26,"Home","DET",36,6,"W",12,19,0.632,1,6,0.167,9,10,0.9,2,7,9,8,2,1,3,1,34,33.5,12,0.726,0.658,7,31,17.6,37.9,2.7,2.9,11.4,33.1,141,108,16.7
"494",41,2022,1,26,"Away","DET",33,55,"W",9,20,0.45,3,8,0.375,7,7,1,3,18,21,9,1,0,3,2,28,28.6,14,0.607,0.525,9.9,52,32.3,54.8,1.4,0,11.5,30.1,133,95,18
"495",42,2022,1,26,"Away","BRK",35,10,"W",8,13,0.615,2,2,1,8,8,1,2,8,10,8,1,0,2,5,26,26.5,6,0.787,0.692,6.2,26,15.9,35.1,1.3,0,10.8,22.2,159,116,11.7
"496",43,2022,1,26,"Away","NOP",30,18,"W",11,19,0.579,3,6,0.5,4,4,1,3,10,13,10,2,0,6,5,29,26.2,15,0.698,0.658,12.5,33,23.9,67.2,3.1,0,22.4,37.2,122,95,16.3
"497",44,2022,1,26,"Away","MIL",28,14,"W",7,9,0.778,2,4,0.5,2,2,1,0,10,10,15,3,1,5,1,18,26.3,24,0.911,0.889,0,41.5,23.3,62,5.4,3.5,33.6,24.9,150,92,27.9
"498",45,2022,2,26,"Away","MIN",30,23,"L",6,12,0.5,1,4,0.25,8,9,0.889,2,14,16,8,1,0,5,3,21,20.6,-7,0.658,0.542,6.4,45.1,25.8,44.3,1.6,0,23.9,29.2,117,120,7.1
"499",46,2022,2,26,"Home","NOP",34,48,"L",7,10,0.7,3,3,1,8,8,1,2,10,12,9,2,0,4,4,25,27.9,-6,0.925,0.85,6.9,47.6,24,49,3,0,22.8,24.1,158,119,18.1
"500",47,2022,2,26,"Home","BRK",29,49,"W",12,15,0.8,0,2,0,3,4,0.75,1,11,12,10,2,1,2,1,27,32.2,27,0.805,0.8,4.1,34.1,21.2,54.2,3.3,3.5,10.7,26.7,154,95,26
"501",48,2022,2,26,"Home","NYK",30,24,"W",8,14,0.571,0,3,0,5,7,0.714,3,8,11,7,0,0,6,2,21,16.2,1,0.615,0.571,12.1,23.4,18.7,33.1,0,0,26,32.6,111,117,-0.7
"502",49,2022,2,26,"Away","BOS",34,21,"L",9,20,0.45,3,10,0.3,2,4,0.5,5,11,16,11,0,2,9,2,23,17.9,3,0.528,0.525,14.6,26.5,21.1,58.2,0,4.7,29.3,36.1,94,101,9.4
"503",50,2022,2,26,"Away","TOR",34,59,"W",10,16,0.625,0,2,0,8,10,0.8,5,10,15,6,0,2,4,1,28,27.7,3,0.686,0.625,17.6,29.8,24.2,32.6,0,5.1,16.4,30.4,132,113,12
"504",51,2022,2,26,"Home","ORL",34,48,"W",10,26,0.385,3,9,0.333,3,3,1,5,10,15,7,1,0,5,2,26,18.4,7,0.476,0.442,16,27,22,34.2,1.3,0,15.5,37.1,104,104,1.2
"505",52,2022,2,26,"Away","GSW",34,21,"W",13,24,0.542,3,5,0.6,6,9,0.667,5,12,17,8,1,0,5,3,35,29.7,6,0.626,0.604,17,38.1,27.9,45,1.4,0,15.2,39,123,112,15.3
"506",53,2022,2,27,"Away","SAC",34,21,"W",9,15,0.6,2,4,0.5,5,7,0.714,1,11,12,9,4,1,2,3,25,29.1,17,0.691,0.667,4.5,36.6,23,35.5,5.4,2.5,10,25.3,139,96,16.2
"507",54,2022,2,27,"Home","SAC",34,24,"W",6,16,0.375,0,5,0,6,8,0.75,2,8,10,11,0,0,2,5,18,15.9,-5,0.461,0.375,7,22.3,15.5,51.8,0,0,9.3,28.1,113,108,2.6
"508",55,2022,2,27,"Away","POR",26,8,"W",3,5,0.6,0,1,0,2,2,1,1,17,18,11,1,0,2,2,8,17.4,6,0.68,0.6,4.7,53.8,34.1,52.5,1.8,0,25.4,12.7,144,77,15.4
"509",56,2022,3,27,"Home","OKC",32,47,"L",10,17,0.588,0,4,0,2,2,1,4,12,16,4,2,0,6,2,22,18.5,-27,0.615,0.588,11.5,38.2,24.2,23.1,2.9,0,25.1,30.8,100,112,1
"510",57,2022,3,27,"Home","NOP",42,34,"W",16,22,0.727,3,5,0.6,11,12,0.917,3,9,12,11,3,4,5,3,46,48.7,22,0.843,0.795,8.3,22,15.6,50.6,3.4,7.3,15.5,33.2,150,108,25.5
"511",58,2022,3,27,"Home","GSW",34,44,"W",12,17,0.706,0,0,NA,8,14,0.571,3,12,15,13,0,1,3,3,32,33.8,14,0.691,0.706,10.6,38.6,25.3,61.1,0,2.9,11.5,32.6,139,120,14.4
"512",59,2022,3,27,"Away","SAC",35,1,"W",15,24,0.625,0,2,0,8,9,0.889,3,15,18,7,1,2,3,4,38,36.1,6,0.68,0.625,10.3,42,27.7,49.4,1.4,5.4,9.7,38.5,134,94,18.7
"513",60,2022,3,27,"Home","GSW",31,46,"L",9,21,0.429,0,8,0,5,6,0.833,1,11,12,9,1,1,5,4,23,16.9,-7,0.486,0.429,3.8,36.9,21.3,63.5,1.6,3.3,17.5,39.7,100,115,7.2
"514",61,2022,3,27,"Home","TOR",30,31,"L",9,13,0.692,0,0,NA,8,9,0.889,4,6,10,7,0,2,3,2,26,27.2,-4,0.767,0.692,17.5,17.8,17.7,38.2,0,4.4,15,29.2,147,130,13.5
"515",62,2022,3,27,"Away","PHI",33,32,"W",8,16,0.5,1,3,0.333,5,7,0.714,1,12,13,8,2,2,5,1,22,21.1,-9,0.577,0.531,3.3,36.5,20.7,35.2,2.9,5.6,20.8,32.9,106,100,8.9
"516",63,2022,3,27,"Away","WAS",26,18,"W",10,14,0.714,2,2,1,7,7,1,2,11,13,8,2,1,3,2,29,32.4,16,0.849,0.786,8.5,43.6,26.7,52.6,3.8,2.9,14.9,33.9,155,97,29.3
"517",64,2022,3,27,"Away","CLE",37,30,"L",15,24,0.625,0,4,0,2,2,1,5,5,10,8,2,1,4,3,32,29.3,-16,0.643,0.625,16.1,13.3,14.6,45.6,2.7,2.3,13.9,34.6,124,112,13
"518",65,2022,3,27,"Home","BOS",33,1,"L",8,23,0.348,2,6,0.333,5,6,0.833,4,4,8,4,1,1,2,2,23,15.4,-21,0.449,0.391,12.6,17.6,14.7,24.9,1.6,3.5,7.2,37.2,104,135,2
"519",66,2022,3,27,"Home","LAC",34,19,"W",9,15,0.6,0,2,0,12,13,0.923,1,13,14,6,2,3,1,5,30,32.6,10,0.724,0.6,4,45.5,26.1,25.9,3,7.8,4.6,29.7,154,107,14.9
"520",67,2022,3,27,"Home","PHO",32,19,"L",9,10,0.9,1,2,0.5,9,11,0.818,2,4,6,6,3,0,8,2,28,24.8,-15,0.943,0.95,8.7,18.6,13.5,25.7,4.5,0,35,31.2,128,135,8.9
"521",68,2022,3,27,"Home","OKC",34,56,"W",13,15,0.867,0,1,0,9,10,0.9,2,10,12,8,2,2,3,4,35,38.1,19,0.902,0.867,6.7,32.7,19.9,47.5,2.8,5.7,13.4,27.8,161,101,21.9
"522",69,2022,3,27,"Away","CHO",35,26,"W",9,17,0.529,0,0,NA,8,12,0.667,5,14,19,11,2,0,4,1,26,29.1,21,0.583,0.529,13.8,45.2,28.3,53.6,2.7,0,15.2,31.1,126,102,15
"523",70,2022,3,27,"Away","IND",35,39,"W",15,19,0.789,0,0,NA,7,8,0.875,3,10,13,9,2,1,7,3,37,35.2,11,0.821,0.789,15,25.4,21.9,40.7,2.8,2.4,23.7,37.8,136,114,13.2
"524",71,2022,4,27,"Home","MIN",43,23,"L",14,21,0.667,0,2,0,10,12,0.833,5,14,19,8,1,0,4,2,38,37.6,4,0.723,0.667,14.6,35.2,25.6,29,1.1,0,13.2,28.7,140,129,9
"525",72,2022,4,27,"Away","LAL",32,59,"W",15,22,0.682,0,3,0,8,11,0.727,1,17,18,6,2,2,7,3,38,32.6,7,0.708,0.682,3.6,65.1,33.6,34.7,2.8,4,20.7,46.1,114,105,7.6
"526",73,2022,4,27,"Home","SAS",40,23,"L",18,35,0.514,1,5,0.2,4,6,0.667,2,15,17,4,2,0,2,3,41,30.4,-11,0.545,0.529,4.5,38.8,20.4,24.3,2.3,0,5,41.2,108,108,13.4
"527",74,2022,4,27,"Home","MEM",35,15,"W",16,24,0.667,1,3,0.333,2,2,1,3,13,16,6,4,1,3,2,35,35.7,37,0.703,0.688,12.8,39.3,28.3,36.8,5.6,2.2,10.8,35.2,136,96,18.8
